Date,Open,High,Low,Close,Volume
11/8/2024,227.17,228.66,226.41,226.96,"38,328,820"
11/7/2024,224.63,227.88,224.57,227.48,"42,137,688"
11/6/2024,222.61,226.07,221.19,222.72,"54,561,121"
11/5/2024,221.8,223.95,221.14,223.45,"28,111,340"
11/4/2024,220.99,222.79,219.71,222.01,"44,944,473"
11/1/2024,220.97,225.35,220.27,222.91,"65,276,738"
10/31/2024,229.34,229.83,225.37,225.91,"64,370,090"
10/30/2024,232.61,233.47,229.55,230.1,"47,070,910"
10/29/2024,233.1,234.33,232.32,233.67,"35,417,246"
10/28/2024,233.32,234.73,232.55,233.4,"36,087,129"
10/25/2024,229.74,233.22,229.57,231.41,"38,802,301"
10/24/2024,229.98,230.82,228.41,230.57,"31,109,500"
10/23/2024,234.08,235.14,227.76,230.76,"52,286,980"
10/22/2024,233.89,236.22,232.6,235.86,"38,846,578"
10/21/2024,234.45,236.85,234.45,236.48,"36,254,473"
10/18/2024,236.18,236.18,234.01,235,"46,431,473"
10/17/2024,233.43,233.85,230.52,232.15,"32,993,809"
10/16/2024,231.6,232.12,229.84,231.78,"34,082,238"
10/15/2024,233.61,237.49,232.37,233.85,"64,751,367"
10/14/2024,228.7,231.73,228.6,231.3,"39,882,090"
10/11/2024,229.3,229.41,227.34,227.55,"31,759,189"
10/10/2024,227.78,229.5,227.17,229.04,"28,183,539"
10/9/2024,225.23,229.75,224.83,229.54,"33,591,090"
10/8/2024,224.3,225.98,223.25,225.77,"31,855,689"
10/7/2024,224.5,225.69,221.33,221.69,"39,505,352"
10/4/2024,227.9,228,224.13,226.8,"37,345,102"
10/3/2024,225.14,226.81,223.32,225.67,"34,044,160"
10/2/2024,225.89,227.37,223.02,226.78,"32,880,609"
10/1/2024,229.52,229.65,223.74,226.21,"63,285,047"
9/30/2024,230.04,233,229.65,233,"54,793,391"
9/27/2024,228.46,229.52,227.3,227.79,"34,025,969"
9/26/2024,227.3,228.5,225.41,227.52,"36,636,711"
9/25/2024,224.93,227.29,224.02,226.37,"42,308,719"
9/24/2024,228.65,229.35,225.73,227.37,"43,556,070"
9/23/2024,227.34,229.45,225.81,226.47,"54,146,020"
9/20/2024,229.97,233.09,227.62,228.2,"318,679,906"
9/19/2024,224.99,229.82,224.63,228.87,"66,781,320"
9/18/2024,217.55,222.71,217.54,220.69,"59,894,930"
9/17/2024,215.75,216.9,214.5,216.79,"45,519,340"
9/16/2024,216.54,217.22,213.92,216.32,"59,357,434"
9/13/2024,223.58,224.04,221.91,222.5,"36,766,621"
9/12/2024,222.5,223.55,219.82,222.77,"37,498,230"
9/11/2024,221.46,223.09,217.89,222.66,"44,587,070"
9/10/2024,218.92,221.48,216.73,220.11,"51,591,031"
9/9/2024,220.82,221.27,216.71,220.91,"67,179,969"
9/6/2024,223.95,225.24,219.77,220.82,"48,423,008"
9/5/2024,221.63,225.48,221.52,222.38,"36,615,398"
9/4/2024,221.66,221.78,217.48,220.85,"43,840,199"
9/3/2024,228.55,229,221.17,222.77,"50,087,200"
8/30/2024,230.19,230.4,227.48,229,"52,990,770"
8/29/2024,230.1,232.92,228.88,229.79,"51,906,301"
8/28/2024,227.92,229.86,225.68,226.49,"38,052,168"
8/27/2024,226,228.85,224.89,228.03,"35,934,559"
8/26/2024,226.76,227.28,223.89,227.18,"30,602,211"
8/23/2024,225.66,228.22,224.33,226.84,"38,677,246"
8/22/2024,227.79,228.34,223.9,224.53,"43,695,320"
8/21/2024,226.52,227.98,225.05,226.4,"34,765,480"
8/20/2024,225.77,227.17,225.45,226.51,"30,299,029"
8/19/2024,225.72,225.99,223.04,225.89,"40,687,809"
8/16/2024,223.92,226.83,223.65,226.05,"44,340,238"
8/15/2024,224.6,225.35,222.76,224.72,"46,414,008"
8/14/2024,220.57,223.03,219.7,221.72,"41,960,566"
8/13/2024,219.01,221.89,219.01,221.27,"44,155,328"
8/12/2024,216.07,219.51,215.6,217.53,"38,028,090"
8/9/2024,212.1,216.78,211.97,216.24,"42,201,648"
8/8/2024,213.11,214.2,208.83,213.31,"47,161,152"
8/7/2024,206.9,213.64,206.39,209.82,"63,516,422"
8/6/2024,205.3,209.99,201.07,207.23,"69,660,484"
8/5/2024,199.09,213.5,196,209.27,"119,548,602"
8/2/2024,219.15,225.6,217.71,219.86,"105,568,602"
8/1/2024,224.37,224.48,217.02,218.36,"62,501,000"
7/31/2024,221.44,223.82,220.63,222.08,"50,036,262"
7/30/2024,219.19,220.33,216.12,218.8,"41,643,840"
7/29/2024,216.96,219.3,215.75,218.24,"36,311,781"
7/26/2024,218.7,219.49,216.01,217.96,"41,601,352"
7/25/2024,218.93,220.85,214.62,217.49,"51,391,199"
7/24/2024,224,224.8,217.13,218.54,"61,777,578"
7/23/2024,224.37,226.94,222.68,225.01,"39,960,262"
7/22/2024,227.01,227.78,223.09,223.96,"48,201,840"
7/19/2024,224.82,226.8,223.28,224.31,"49,151,449"
7/18/2024,230.28,230.44,222.27,224.18,"66,034,594"
7/17/2024,229.45,231.46,226.64,228.88,"57,345,879"
7/16/2024,235,236.27,232.33,234.82,"43,234,281"
7/15/2024,236.48,237.23,233.09,234.4,"62,631,246"
7/12/2024,228.92,232.64,228.68,230.54,"53,046,527"
7/11/2024,231.39,232.39,225.77,227.57,"64,710,621"
7/10/2024,229.3,233.08,229.25,232.98,"62,627,688"
7/9/2024,227.93,229.4,226.37,228.68,"48,169,820"
7/8/2024,227.09,227.85,223.25,227.82,"59,085,859"
7/5/2024,221.65,226.45,221.65,226.34,"60,412,406"
7/3/2024,220,221.55,219.03,221.55,"37,369,801"
7/2/2024,216.15,220.38,215.1,220.27,"58,046,180"
7/1/2024,212.09,217.51,211.92,216.75,"60,402,930"
6/28/2024,215.77,216.07,210.3,210.62,"82,542,719"
6/27/2024,214.69,215.74,212.35,214.1,"49,772,711"
6/26/2024,211.5,214.86,210.64,213.25,"66,213,195"
6/25/2024,209.15,211.38,208.61,209.07,"56,713,871"
6/24/2024,207.72,212.7,206.59,208.14,"80,727,008"
6/21/2024,210.39,211.89,207.11,207.49,"246,421,406"
6/20/2024,213.93,214.24,208.85,209.68,"86,172,445"
6/18/2024,217.59,218.63,213,214.29,"79,943,250"
6/17/2024,213.37,218.95,212.72,216.67,"93,728,305"
6/14/2024,213.85,215.17,211.3,212.49,"70,122,750"
6/13/2024,214.74,216.75,211.6,214.24,"97,862,727"
6/12/2024,207.37,220.2,206.9,213.07,"198,134,297"
6/11/2024,193.65,207.16,193.63,207.15,"172,373,297"
6/10/2024,196.9,197.3,192.15,193.12,"97,262,078"
6/7/2024,194.65,196.94,194.14,196.89,"53,103,910"
6/6/2024,195.69,196.5,194.17,194.48,"41,181,754"
6/5/2024,195.4,196.9,194.87,195.87,"54,156,793"
6/4/2024,194.64,195.32,193.03,194.35,"47,471,449"
6/3/2024,192.9,194.99,192.52,194.03,"50,080,539"
5/31/2024,191.44,192.57,189.91,192.25,"75,158,281"
5/30/2024,190.76,192.18,190.63,191.29,"49,947,941"
5/29/2024,189.61,192.25,189.51,190.29,"53,068,020"
5/28/2024,191.51,193,189.1,189.99,"52,280,047"
5/24/2024,188.82,190.58,188.04,189.98,"36,326,980"
5/23/2024,190.98,191,186.63,186.88,"51,005,922"
5/22/2024,192.27,192.82,190.27,190.9,"34,648,551"
5/21/2024,191.09,192.73,190.92,192.35,"42,309,398"
5/20/2024,189.33,191.92,189.01,191.04,"44,361,281"
5/17/2024,189.51,190.81,189.18,189.87,"41,282,930"
5/16/2024,190.47,191.1,189.66,189.84,"52,845,230"
5/15/2024,187.91,190.65,187.37,189.72,"70,399,992"
5/14/2024,187.51,188.3,186.29,187.43,"52,393,621"
5/13/2024,185.44,187.1,184.62,186.28,"72,044,805"
5/10/2024,184.9,185.09,182.13,183.05,"50,759,500"
5/9/2024,182.56,184.66,182.11,184.57,"48,982,969"
5/8/2024,182.85,183.07,181.45,182.74,"45,057,090"
5/7/2024,183.45,184.9,181.32,182.4,"77,305,766"
5/6/2024,182.35,184.2,180.42,181.71,"78,569,672"
5/3/2024,186.65,187,182.66,183.38,"163,224,094"
5/2/2024,172.51,173.42,170.89,173.03,"94,214,922"
5/1/2024,169.58,172.71,169.11,169.3,"50,383,152"
4/30/2024,173.33,174.99,170,170.33,"65,934,781"
4/29/2024,173.37,176.03,173.1,173.5,"68,169,422"
4/26/2024,169.88,171.34,169.18,169.3,"44,838,352"
4/25/2024,169.53,170.61,168.15,169.89,"50,558,328"
4/24/2024,166.54,169.3,166.21,169.02,"48,251,840"
4/23/2024,165.35,167.05,164.92,166.9,"49,537,762"
4/22/2024,165.52,167.26,164.77,165.84,"48,116,441"
4/19/2024,166.21,166.4,164.08,165,"68,149,375"
4/18/2024,168.03,168.64,166.55,167.04,"43,122,898"
4/17/2024,169.61,170.65,168,168,"50,901,207"
4/16/2024,171.75,173.76,168.27,169.38,"73,711,242"
4/15/2024,175.36,176.63,172.5,172.69,"73,531,766"
4/12/2024,174.26,178.36,174.21,176.55,"101,670,898"
4/11/2024,168.34,175.46,168.16,175.04,"91,070,281"
4/10/2024,168.8,169.09,167.11,167.78,"49,709,340"
4/9/2024,168.7,170.08,168.35,169.67,"42,451,207"
4/8/2024,169.03,169.2,168.24,168.45,"37,425,512"
4/5/2024,169.59,170.39,168.95,169.58,"42,104,832"
4/4/2024,170.29,171.92,168.82,168.82,"53,704,391"
4/3/2024,168.79,170.68,168.58,169.65,"47,691,719"
4/2/2024,169.08,169.34,168.23,168.84,"49,329,480"
4/1/2024,171.19,171.25,169.48,170.03,"46,240,500"
3/28/2024,171.75,172.23,170.51,171.48,"65,672,688"
3/27/2024,170.41,173.6,170.11,173.31,"60,273,273"
3/26/2024,170,171.42,169.58,169.71,"57,388,449"
3/25/2024,170.57,171.94,169.45,170.85,"54,288,328"
3/22/2024,171.76,173.05,170.06,172.28,"71,160,141"
3/21/2024,177.05,177.49,170.84,171.37,"106,181,297"
3/20/2024,175.72,178.67,175.09,178.67,"53,423,102"
3/19/2024,174.34,176.61,173.03,176.08,"55,215,238"
3/18/2024,175.57,177.71,173.52,173.72,"75,604,180"
3/15/2024,171.17,172.62,170.29,172.62,"121,752,703"
3/14/2024,172.91,174.31,172.05,173,"72,913,516"
3/13/2024,172.77,173.19,170.76,171.13,"52,488,688"
3/12/2024,173.15,174.03,171.01,173.23,"59,825,367"
3/11/2024,172.94,174.38,172.05,172.75,"60,139,473"
3/8/2024,169,173.7,168.94,170.73,"76,267,039"
3/7/2024,169.15,170.73,168.49,169,"71,765,055"
3/6/2024,171.06,171.24,168.68,169.12,"68,587,711"
3/5/2024,170.76,172.04,169.62,170.12,"95,132,359"
3/4/2024,176.15,176.9,173.79,175.1,"81,510,094"
3/1/2024,179.55,180.53,177.38,179.66,"73,563,078"
2/29/2024,181.27,182.57,179.53,180.75,"136,682,594"
2/28/2024,182.51,183.12,180.13,181.42,"48,953,941"
2/27/2024,181.1,183.92,179.56,182.63,"54,318,848"
2/26/2024,182.24,182.76,180.65,181.16,"40,867,422"
2/23/2024,185.01,185.04,182.23,182.52,"45,119,680"
2/22/2024,183.48,184.96,182.46,184.37,"52,292,207"
2/21/2024,181.94,182.89,180.66,182.32,"41,529,672"
2/20/2024,181.79,182.43,180,181.56,"53,665,551"
2/16/2024,183.42,184.85,181.67,182.31,"49,752,473"
2/15/2024,183.55,184.49,181.35,183.86,"65,434,500"
2/14/2024,185.32,185.53,182.44,184.15,"54,630,520"
2/13/2024,185.77,186.21,183.51,185.04,"56,529,527"
2/12/2024,188.42,188.67,186.79,187.15,"41,781,930"
2/9/2024,188.65,189.99,188,188.85,"45,155,219"
2/8/2024,189.39,189.54,187.35,188.32,"40,962,047"
2/7/2024,190.64,191.05,188.61,189.41,"53,438,961"
2/6/2024,186.86,189.31,186.77,189.3,"43,490,762"
2/5/2024,188.15,189.25,185.84,187.68,"69,668,812"
2/2/2024,179.86,187.33,179.25,185.85,"102,551,695"
2/1/2024,183.99,186.95,183.82,186.86,"64,885,406"
1/31/2024,187.04,187.1,184.35,184.4,"55,467,801"
1/30/2024,190.94,191.8,187.47,188.04,"55,859,367"
1/29/2024,192.01,192.2,189.58,191.73,"47,145,621"
1/26/2024,194.27,194.76,191.94,192.42,"44,594,008"
1/25/2024,195.22,196.27,193.11,194.17,"54,822,129"
1/24/2024,195.42,196.38,194.34,194.5,"53,631,320"
1/23/2024,195.02,195.75,193.83,195.18,"42,355,594"
1/22/2024,192.3,195.33,192.26,193.89,"60,133,848"
1/19/2024,189.33,191.95,188.82,191.56,"68,902,992"
1/18/2024,186.09,189.14,185.83,188.63,"78,005,750"
1/17/2024,181.27,182.93,180.3,182.68,"47,317,434"
1/16/2024,182.16,184.26,180.93,183.63,"65,603,039"
1/12/2024,186.06,186.74,185.19,185.92,"40,477,781"
1/11/2024,186.54,187.05,183.62,185.59,"49,128,406"
1/10/2024,184.35,186.4,183.92,186.19,"46,792,910"
1/9/2024,183.92,185.15,182.73,185.14,"42,841,809"
1/8/2024,182.09,185.6,181.5,185.56,"59,144,473"
1/5/2024,181.99,182.76,180.17,181.18,"62,379,660"
1/4/2024,182.15,183.09,180.88,181.91,"71,983,570"
1/3/2024,184.22,185.88,183.43,184.25,"58,414,461"
1/2/2024,187.15,188.44,183.89,185.64,"82,488,672"
12/29/2023,193.9,194.4,191.73,192.53,"42,672,152"
12/28/2023,194.14,194.66,193.17,193.58,"34,049,898"
12/27/2023,192.49,193.5,191.09,193.15,"48,087,680"
12/26/2023,193.61,193.89,192.83,193.05,"28,919,311"
12/22/2023,195.18,195.41,192.97,193.6,"37,149,566"
12/21/2023,196.1,197.08,193.5,194.68,"46,482,551"
12/20/2023,196.9,197.68,194.83,194.83,"52,242,820"
12/19/2023,196.16,196.95,195.89,196.94,"40,714,047"
12/18/2023,196.09,196.63,194.39,195.89,"55,751,859"
12/15/2023,197.53,198.4,197,197.57,"128,538,398"
12/14/2023,198.02,199.62,196.16,198.11,"66,831,570"
12/13/2023,195.09,198,194.85,197.96,"70,404,180"
12/12/2023,193.08,194.72,191.72,194.71,"52,696,898"
12/11/2023,193.11,193.49,191.42,193.18,"60,943,699"
12/8/2023,194.2,195.99,193.67,195.71,"53,406,359"
12/7/2023,193.63,195,193.59,194.27,"47,477,660"
12/6/2023,194.45,194.76,192.11,192.32,"41,089,738"
12/5/2023,190.21,194.4,190.18,193.42,"66,628,398"
12/4/2023,189.98,190.05,187.45,189.43,"43,389,520"
12/1/2023,190.33,191.56,189.23,191.24,"45,704,820"
11/30/2023,189.84,190.32,188.19,189.95,"48,794,367"
11/29/2023,190.9,192.09,188.97,189.37,"43,014,219"
11/28/2023,189.78,191.08,189.4,190.4,"38,415,422"
11/27/2023,189.92,190.67,188.9,189.79,"40,552,609"
11/24/2023,190.87,190.9,189.25,189.97,"24,048,340"
11/22/2023,191.49,192.93,190.83,191.31,"39,630,008"
11/21/2023,191.41,191.52,189.74,190.64,"38,134,488"
11/20/2023,189.89,191.91,189.88,191.45,"46,538,609"
11/17/2023,190.25,190.38,188.57,189.69,"50,941,398"
11/16/2023,189.57,190.96,188.65,189.71,"54,412,922"
11/15/2023,187.85,189.5,187.78,188.01,"53,790,500"
11/14/2023,187.7,188.11,186.3,187.44,"60,108,379"
11/13/2023,185.82,186.03,184.21,184.8,"43,627,520"
11/10/2023,183.97,186.57,183.53,186.4,"66,177,922"
11/9/2023,182.96,184.12,181.81,182.41,"53,763,539"
11/8/2023,182.35,183.45,181.59,182.89,"49,340,281"
